runtime,ms,cloud,both,order
Node.js,301,aws,aws-Node.js,1
Node.js,295,aws,aws-Node.js,1
Node.js,291,aws,aws-Node.js,1
Node.js,845,aws,aws-Node.js,1
Node.js,275,aws,aws-Node.js,1
Node.js,319,aws,aws-Node.js,1
Node.js,302,aws,aws-Node.js,1
Node.js,278,aws,aws-Node.js,1
Node.js,283,aws,aws-Node.js,1
Node.js,326,aws,aws-Node.js,1
Python,276,aws,aws-Python,2
Python,250,aws,aws-Python,2
Python,232,aws,aws-Python,2
Python,230,aws,aws-Python,2
Python,224,aws,aws-Python,2
Python,259,aws,aws-Python,2
Python,229,aws,aws-Python,2
Python,247,aws,aws-Python,2
Python,247,aws,aws-Python,2
Python,266,aws,aws-Python,2
Go,300,aws,aws-Go,3
Go,357,aws,aws-Go,3
Go,225,aws,aws-Go,3
Go,236,aws,aws-Go,3
Go,246,aws,aws-Go,3
Go,278,aws,aws-Go,3
Go,269,aws,aws-Go,3
Go,274,aws,aws-Go,3
Go,258,aws,aws-Go,3
Go,223,aws,aws-Go,3
.NET,1798,aws,aws-.NET,4
.NET,1539,aws,aws-.NET,4
.NET,1657,aws,aws-.NET,4
.NET,1590,aws,aws-.NET,4
.NET,1633,aws,aws-.NET,4
.NET,1734,aws,aws-.NET,4
.NET,1790,aws,aws-.NET,4
.NET,1738,aws,aws-.NET,4
.NET,1739,aws,aws-.NET,4
.NET,1667,aws,aws-.NET,4
Node.js,2601,azure,azure-Node.js,5
Node.js,2275,azure,azure-Node.js,5
Node.js,2518,azure,azure-Node.js,5
Node.js,2342,azure,azure-Node.js,5
Node.js,2795,azure,azure-Node.js,5
Node.js,2446,azure,azure-Node.js,5
Node.js,2673,azure,azure-Node.js,5
Node.js,2640,azure,azure-Node.js,5
Node.js,2382,azure,azure-Node.js,5
Node.js,2438,azure,azure-Node.js,5
Python,3046,azure,azure-Python,6
Python,3568,azure,azure-Python,6
Python,2563,azure,azure-Python,6
Python,3055,azure,azure-Python,6
Python,2420,azure,azure-Python,6
Python,2325,azure,azure-Python,6
Python,4517,azure,azure-Python,6
Python,3166,azure,azure-Python,6
Python,3006,azure,azure-Python,6
Python,2528,azure,azure-Python,6
.NET,4937,azure,azure-.NET,7
.NET,4727,azure,azure-.NET,7
.NET,3788,azure,azure-.NET,7
.NET,3853,azure,azure-.NET,7
.NET,3061,azure,azure-.NET,7
.NET,3839,azure,azure-.NET,7
.NET,2507,azure,azure-.NET,7
.NET,3705,azure,azure-.NET,7
.NET,3339,azure,azure-.NET,7
.NET,2612,azure,azure-.NET,7
Node.js,4273,azure_win,azure_win-Node.js,8
Node.js,3336,azure_win,azure_win-Node.js,8
Node.js,4126,azure_win,azure_win-Node.js,8
Node.js,3966,azure_win,azure_win-Node.js,8
Node.js,3226,azure_win,azure_win-Node.js,8
Node.js,4974,azure_win,azure_win-Node.js,8
Node.js,4921,azure_win,azure_win-Node.js,8
Node.js,3906,azure_win,azure_win-Node.js,8
Node.js,3741,azure_win,azure_win-Node.js,8
Node.js,4386,azure_win,azure_win-Node.js,8
.NET,1428,azure_win,azure_win-.NET,9
.NET,1800,azure_win,azure_win-.NET,9
.NET,1256,azure_win,azure_win-.NET,9
.NET,1480,azure_win,azure_win-.NET,9
.NET,1929,azure_win,azure_win-.NET,9
.NET,1578,azure_win,azure_win-.NET,9
.NET,2763,azure_win,azure_win-.NET,9
.NET,1692,azure_win,azure_win-.NET,9
.NET,3419,azure_win,azure_win-.NET,9
.NET,1297,azure_win,azure_win-.NET,9
Node.js,2294,google,google-Node.js,10
Node.js,2285,google,google-Node.js,10
Node.js,1653,google,google-Node.js,10
Node.js,1559,google,google-Node.js,10
Node.js,1728,google,google-Node.js,10
Node.js,1870,google,google-Node.js,10
Node.js,1923,google,google-Node.js,10
Node.js,2259,google,google-Node.js,10
Node.js,1678,google,google-Node.js,10
Node.js,2081,google,google-Node.js,10
Python,2828,google,google-Python,11
Python,2497,google,google-Python,11
Python,2295,google,google-Python,11
Python,2160,google,google-Python,11
Python,2397,google,google-Python,11
Python,3351,google,google-Python,11
Python,2448,google,google-Python,11
Python,2467,google,google-Python,11
Python,2652,google,google-Python,11
Python,3847,google,google-Python,11
Go,1178,google,google-Go,12
Go,1901,google,google-Go,12
Go,1455,google,google-Go,12
Go,1529,google,google-Go,12
Go,1570,google,google-Go,12
Go,1473,google,google-Go,12
Go,1557,google,google-Go,12
Go,1611,google,google-Go,12
Go,2067,google,google-Go,12
Go,1790,google,google-Go,12
Node.js,925,ibm,ibm-Node.js,13
Node.js,814,ibm,ibm-Node.js,13
Node.js,859,ibm,ibm-Node.js,13
Node.js,779,ibm,ibm-Node.js,13
Node.js,794,ibm,ibm-Node.js,13
Node.js,856,ibm,ibm-Node.js,13
Node.js,800,ibm,ibm-Node.js,13
Node.js,780,ibm,ibm-Node.js,13
Node.js,823,ibm,ibm-Node.js,13
Node.js,833,ibm,ibm-Node.js,13
Python,661,ibm,ibm-Python,14
Python,651,ibm,ibm-Python,14
Python,605,ibm,ibm-Python,14
Python,666,ibm,ibm-Python,14
Python,649,ibm,ibm-Python,14
Python,646,ibm,ibm-Python,14
Python,629,ibm,ibm-Python,14
Python,599,ibm,ibm-Python,14
Python,675,ibm,ibm-Python,14
Python,675,ibm,ibm-Python,14
Go,761,ibm,ibm-Go,15
Go,748,ibm,ibm-Go,15
Go,763,ibm,ibm-Go,15
Go,761,ibm,ibm-Go,15
Go,733,ibm,ibm-Go,15
Go,803,ibm,ibm-Go,15
Go,785,ibm,ibm-Go,15
Go,906,ibm,ibm-Go,15
Go,778,ibm,ibm-Go,15
Go,845,ibm,ibm-Go,15
.NET,1829,ibm,ibm-.NET,16
.NET,1707,ibm,ibm-.NET,16
.NET,1632,ibm,ibm-.NET,16
.NET,1631,ibm,ibm-.NET,16
.NET,1670,ibm,ibm-.NET,16
.NET,1682,ibm,ibm-.NET,16
.NET,1601,ibm,ibm-.NET,16
.NET,1686,ibm,ibm-.NET,16
.NET,1583,ibm,ibm-.NET,16
.NET,1674,ibm,ibm-.NET,16
